,name,accuracy,precision,recall,f1_score
0,LogisticRegression,94.94785082174462,98.00000000000001,46.27272727272727,61.56069094304388
1,SVC,96.10224399494311,89.44444444444444,67.54545454545455,75.97508365387623
2,DecisionTreeClassifier,98.13922250316057,87.69530469530469,94.09090909090911,90.37622217599335
3,ExtraTreesClassifier,98.49320480404552,95.74999999999999,87.36363636363637,91.08521303258146
4,RandomForestClassifier,98.49399494311,98.18181818181819,85.45454545454547,90.90517961570595
5,AdaBoostClassifier,97.60745891276865,89.33333333333333,84.54545454545455,86.56266819882379
6,GaussianNB,63.647281921618216,20.472327030874247,98.09090909090911,33.72373223998995
7,KNeighborsClassifier,97.60666877370419,95.52777777777777,77.9090909090909,85.33040935672516
